last,first,name,height,DOB,homeTown,year,team,city,state,country
Jurgelevich,William,William Jurgelevich,- ,,,1947,BU,,,
Kirrane,William,William Kirrane,- ,,,1947,BU,,,
Pynchon,John,John Pynchon,- ,,,1947,BU,,,
Robinson,Lloyd,Lloyd Robinson,- ,,"Wellesley, Massachusetts",1947,BU,Wellesley,Massachusetts,United States
Smith,James,James Smith,- ,,,1947,BU,,,
Bevins,Ralph,Ralph Bevins,- ,10/7/1924,,1947,BU,,,
Anderson,Walt,Walt Anderson,- ,,"Waltham, Massachusetts",1948,BU,Waltham,Massachusetts,United States
Bell,Bob,Bob Bell,- ,,"Framingham, Massachusetts",1948,BU,Framingham,Massachusetts,United States
Cahoon,Ed,Ed Cahoon,- ,7/2/1924,"Melrose, Massachusetts",1948,BU,Melrose,Massachusetts,United States
Casali,Mario,Mario Casali,- ,,,1948,BU,,,
Cleary,Don,Don Cleary,- ,,"Cambridge, Massachusetts",1948,BU,Cambridge,Massachusetts,United States
Clopeck,Jack,Jack Clopeck,- ,,,1948,BU,,,
Czarnota,Joe,Joe Czarnota,- ,3/25/1925,"Wakefield, Massachusetts",1948,BU,Wakefield,Massachusetts,United States
Dupuis,Bob,Bob Dupuis,- ,,,1948,BU,,,
Gleason,Jerome,Jerome Gleason,- ,,,1948,BU,,,
Grant,Dick,Dick Grant,- ,,"Arlington, Massachusetts",1948,BU,Arlington,Massachusetts,United States
Haynes,Irving,Irving Haynes,- ,,,1948,BU,,,
Hixon,Dana,Dana Hixon,- ,,,1948,BU,,,
Jurgelevich,William,William Jurgelevich,- ,,,1948,BU,,,
Kirrane,William,William Kirrane,- ,,,1948,BU,,,
Ray,John,John Ray,- ,,,1948,BU,,,
Robinson,Lloyd,Lloyd Robinson,- ,,"Wellesley, Massachusetts",1948,BU,Wellesley,Massachusetts,United States
Wennberg,Carl,Carl Wennberg,- ,,,1948,BU,,,
Beecher,Larry,Larry Beecher,- ,,,1948,BU,,,
Bevins,Ralph,Ralph Bevins,- ,10/7/1924,,1948,BU,,,
Anderson,Walt,Walt Anderson,- ,,"Waltham, Massachusetts",1949,BU,Waltham,Massachusetts,United States
Barnhill,Keith,Keith Barnhill,- ,,,1949,BU,,,
Barrett,Bob,Bob Barrett,- ,8/18/1927,"Hingham, Massachusetts",1949,BU,Hingham,Massachusetts,United States
Bell,Bob,Bob Bell,- ,,"Framingham, Massachusetts",1949,BU,Framingham,Massachusetts,United States
Cahoon,Ed,Ed Cahoon,- ,7/2/1924,"Melrose, Massachusetts",1949,BU,Melrose,Massachusetts,United States
Casali,Mario,Mario Casali,- ,,,1949,BU,,,
Czarnota,Joe,Joe Czarnota,- ,3/25/1925,"Wakefield, Massachusetts",1949,BU,Wakefield,Massachusetts,United States
Downing,Bill,Bill Downing,- ,,,1949,BU,,,
Dupuis,Bob,Bob Dupuis,- ,,,1949,BU,,,
Folino,Joe,Joe Folino,- ,1/3/1927,,1949,BU,,,
Garrity,Jack,Jack Garrity,- ,4/1/1926,"Woburn, Massachusetts",1949,BU,Woburn,Massachusetts,United States
Haynes,Irving,Irving Haynes,- ,,,1949,BU,,,
Hixon,Dana,Dana Hixon,- ,,,1949,BU,,,
Jurgelevich,William,William Jurgelevich,- ,,,1949,BU,,,
Kelley,Dick,Dick Kelley,- ,,,1949,BU,,,
Kelley,Jack,Jack Kelley,- ,7/10/1927,"Medford, Massachusetts",1949,BU,Medford,Massachusetts,United States
Martin,Jack,Jack Martin,- ,,,1949,BU,,,
Ray,John,John Ray,- ,,,1949,BU,,,
Robinson,Lloyd,Lloyd Robinson,- ,,"Wellesley, Massachusetts",1949,BU,Wellesley,Massachusetts,United States
Wennberg,Carl,Carl Wennberg,- ,,,1949,BU,,,
Beecher,Larry,Larry Beecher,- ,,,1949,BU,,,
Bevins,Ralph,Ralph Bevins,- ,10/7/1924,,1949,BU,,,
Fife,Walter,Walter Fife,- ,,,1950,BU,,,
Barnhill,Keith,Keith Barnhill,- ,,,1950,BU,,,
Barrett,Bob,Bob Barrett,- ,8/18/1927,"Hingham, Massachusetts",1950,BU,Hingham,Massachusetts,United States
Cahoon,Ed,Ed Cahoon,- ,7/2/1924,"Melrose, Massachusetts",1950,BU,Melrose,Massachusetts,United States
Casali,Mario,Mario Casali,- ,,,1950,BU,,,
Cleary,Paul,Paul Cleary,- ,,,1950,BU,,,
Cogan,George,George Cogan,- ,,,1950,BU,,,
Czarnota,Joe,Joe Czarnota,- ,3/25/1925,"Wakefield, Massachusetts",1950,BU,Wakefield,Massachusetts,United States
Denning,Jerry,Jerry Denning,- ,,,1950,BU,,,
Downing,Bill,Bill Downing,- ,,,1950,BU,,,
Dupuis,Bob,Bob Dupuis,- ,,,1950,BU,,,
Folino,Joe,Joe Folino,- ,1/3/1927,,1950,BU,,,
Garrity,Jack,Jack Garrity,- ,4/1/1926,"Woburn, Massachusetts",1950,BU,Woburn,Massachusetts,United States
Kelley,Dick,Dick Kelley,- ,,,1950,BU,,,
Kelley,Jack,Jack Kelley,- ,7/10/1927,"Medford, Massachusetts",1950,BU,Medford,Massachusetts,United States
Martin,Jack,Jack Martin,- ,,,1950,BU,,,
Merrill,Roger,Roger Merrill,- ,,,1950,BU,,,
Ray,John,John Ray,- ,,,1950,BU,,,
Fife,Walter,Walter Fife,- ,,,1951,BU,,,
Kelley,Raymond,Raymond Kelley,- ,,,1951,BU,,,
Lee,Dick,Dick Lee,- ,,,1951,BU,,,
Barnhill,Keith,Keith Barnhill,- ,,,1951,BU,,,
Barrett,Bob,Bob Barrett,- ,8/18/1927,"Hingham, Massachusetts",1951,BU,Hingham,Massachusetts,United States
Burns,John,John Burns,- ,,"Stoneham, Massachusetts",1951,BU,Stoneham,Massachusetts,United States
Cicoria,Tony,Tony Cicoria,5-8 ,,"Melrose, Massachusetts",1951,BU,Melrose,Massachusetts,United States
Cleary,Paul,Paul Cleary,- ,,,1951,BU,,,
Denning,Jerry,Jerry Denning,- ,,,1951,BU,,,
Downing,Bill,Bill Downing,- ,,,1951,BU,,,
Kelley,Dick,Dick Kelley,- ,,,1951,BU,,,
Kelley,Jack,Jack Kelley,- ,7/10/1927,"Medford, Massachusetts",1951,BU,Medford,Massachusetts,United States
Martin,Jack,Jack Martin,- ,,,1951,BU,,,
Rodenhiser,Dick,Dick Rodenhiser,- ,10/17/1932,"Malden, Massachusetts",1951,BU,Malden,Massachusetts,United States
Rousseau,Robert,Robert Rousseau,- ,,,1951,BU,,,
Toperzer,Frank,Frank Toperzer,- ,,,1951,BU,,,
Whalen,Paul,Paul Whalen,- ,,,1951,BU,,,
Zanetti,Mario,Mario Zanetti,- ,,,1951,BU,,,
Kelley,Paul,Paul Kelley,- ,,,1951,BU,,,
Kelley,Raymond,Raymond Kelley,- ,,,1952,BU,,,
Lee,Dick,Dick Lee,- ,,,1952,BU,,,
Bruno,Joseph,Joseph Bruno,- ,,,1952,BU,,,
Burns,John,John Burns,- ,,"Stoneham, Massachusetts",1952,BU,Stoneham,Massachusetts,United States
Cicoria,Tony,Tony Cicoria,5-8 ,,"Melrose, Massachusetts",1952,BU,Melrose,Massachusetts,United States
Cicoria,Andy,Andy Cicoria,- ,,,1952,BU,,,
Cleary,Paul,Paul Cleary,- ,,,1952,BU,,,
Cogan,George,George Cogan,- ,,,1952,BU,,,
Denning,Jerry,Jerry Denning,- ,,,1952,BU,,,
Dwyer,Thomas,Thomas Dwyer,- ,,,1952,BU,,,
Mills,Bob,Bob Mills,- ,,,1952,BU,,,
Rodenhiser,Dick,Dick Rodenhiser,- ,10/17/1932,"Malden, Massachusetts",1952,BU,Malden,Massachusetts,United States
Rousseau,Robert,Robert Rousseau,- ,,,1952,BU,,,
Shannon,Art,Art Shannon,- ,,"Watertown, Massachusetts",1952,BU,Watertown,Massachusetts,United States
Toperzer,Frank,Frank Toperzer,- ,,,1952,BU,,,
Tutuny,Charles,Charles Tutuny,- ,,,1952,BU,,,
Whalen,Paul,Paul Whalen,- ,,,1952,BU,,,
Zanetti,Mario,Mario Zanetti,- ,,,1952,BU,,,
Bradley,Dick,Dick Bradley,- ,,,1952,BU,,,
Hart,Edward,Edward Hart,- ,,"Lynn, Massachusetts",1952,BU,Lynn,Massachusetts,United States
Kelley,Paul,Paul Kelley,- ,,,1952,BU,,,
Kelley,Raymond,Raymond Kelley,- ,,,1953,BU,,,
Burns,John,John Burns,- ,,"Stoneham, Massachusetts",1953,BU,Stoneham,Massachusetts,United States
Collins,Ralph,Ralph Collins,- ,,,1953,BU,,,
Crocker,Bob,Bob Crocker,- ,8/3/1928,"Boston, Massachusetts",1953,BU,Boston,Massachusetts,United States
Driscoll,Len,Len Driscoll,- ,,,1953,BU,,,
Dwyer,Thomas,Thomas Dwyer,- ,,,1953,BU,,,
Gurberg,Marvin,Marvin Gurberg,- ,,,1953,BU,,,
Mills,Bob,Bob Mills,- ,,,1953,BU,,,
Murphy,Jack,Jack Murphy,- ,,,1953,BU,,,
Rousseau,Robert,Robert Rousseau,- ,,,1953,BU,,,
Whiting,Warren,Warren Whiting,- ,,,1953,BU,,,
Aiken,Don,Don Aiken,5-11,1/1/1932,"Arlington, Massachusetts",1953,BU,Arlington,Massachusetts,United States
Hart,Edward,Edward Hart,- ,,"Lynn, Massachusetts",1953,BU,Lynn,Massachusetts,United States
Buell,Bob,Bob Buell,- ,4/23/1931,"Wellesley, Massachusetts",1954,BU,Wellesley,Massachusetts,United States
Burns,John,John Burns,- ,,"Stoneham, Massachusetts",1953,BU,Stoneham,Massachusetts,United States
Crocker,Bob,Bob Crocker,- ,8/3/1928,"Boston, Massachusetts",1954,BU,Boston,Massachusetts,United States
Driscoll,Len,Len Driscoll,- ,,,1954,BU,,,
Dwyer,Thomas,Thomas Dwyer,- ,,,1954,BU,,,
Maddison,David,David Maddison,- ,,,1954,BU,,,
Manning,Mike,Mike Manning,5-10,,"Medford, Massachusetts",1954,BU,Medford,Massachusetts,United States
McAdoo,Dick,Dick McAdoo,- ,,,1954,BU,,,
McComb,John,John McComb,- ,,,1954,BU,,,
Mitchell,Doug,Doug Mitchell,- ,,,1954,BU,,,
Murphy,Jack,Jack Murphy,- ,,,1954,BU,,,
Quinn,Joe,Joe Quinn,5-10,,"Somerville, Massachusetts",1954,BU,Somerville,Massachusetts,United States
Tellier,Joe,Joe Tellier,- ,,,1954,BU,,,
Aiken,Don,Don Aiken,5-11,1/1/1932,"Arlington, Massachusetts",1954,BU,Arlington,Massachusetts,United States
Hart,Edward,Edward Hart,- ,,"Lynn, Massachusetts",1954,BU,Lynn,Massachusetts,United States
Dupuis,Bob,Bob Dupuis,5-8 ,,"Lynn, Massachusetts",1955,BU,Lynn,Massachusetts,United States
MacLeod,Don,Don MacLeod,5-11,,"Charlottetown, Prince Edward Island",1955,BU,Charlottetown,Prince Edward Island,Canada
'Sarge' Kinlin,Francis,Sarge Kinlin,6-0 ,,"Waltham, Massachusetts",1955,BU,Waltham,Massachusetts,United States
Carriere,Art,Art Carriere,6-2 ,,"West Roxbury, Massachusetts",1955,BU,West Roxbury,Massachusetts,United States
Carruthers,Jack,Jack Carruthers,5-9 ,,"Calgary, Alberta",1955,BU,Calgary,Alberta,Canada
Cicoria,Tony,Tony Cicoria,5-8 ,,"Melrose, Massachusetts",1955,BU,Melrose,Massachusetts,United States
Driscoll,Len,Len Driscoll,- ,,,1955,BU,,,
Ford,Curt,Curt Ford,- ,,,1955,BU,,,
Keith,Forbes,Forbes Keith,- ,5/17/1936,"Boston, Massachusetts",1955,BU,Boston,Massachusetts,United States
MacLeod,Russ,Russ MacLeod,- ,5/28/1935,"Lowell, Massachusetts",1955,BU,Lowell,Massachusetts,United States
Maddison,David,David Maddison,- ,,,1955,BU,,,
Manning,Mike,Mike Manning,5-10,,"Medford, Massachusetts",1955,BU,Medford,Massachusetts,United States
McAdoo,Dick,Dick McAdoo,- ,,,1955,BU,,,
McComb,John,John McComb,- ,,,1955,BU,,,
Murphy,Jack,Jack Murphy,- ,,,1955,BU,,,
Quinn,Joe,Joe Quinn,5-10,,"Somerville, Massachusetts",1955,BU,Somerville,Massachusetts,United States
Sullivan,Bill,Bill Sullivan,5-11,,"East Weymouth, Massachusetts",1955,BU,East Weymouth,Massachusetts,United States
Sweeney,Bill,Bill Sweeney,6-0 ,,"Woburn, Massachusetts",1955,BU,Woburn,Massachusetts,United States
Vito,Ralph,Ralph Vito,- ,,,1955,BU,,,
Levin,Henry,Henry Levin,5-6 ,,"Weymouth, Massachusetts",1955,BU,Weymouth,Massachusetts,United States
DiVincenzo,Ron,Ron DiVincenzo,6-0 ,,"Medford, Massachusetts",1956,BU,Medford,Massachusetts,United States
Dupuis,Bob,Bob Dupuis,5-8 ,,"Lynn, Massachusetts",1956,BU,Lynn,Massachusetts,United States
Grant,John,John Grant,6-1 ,,"Roslindale, Massachusetts",1956,BU,Roslindale,Massachusetts,United States
Lovely,Lou,Lou Lovely,6-0 ,,"Haverhill, Massachusetts",1956,BU,Haverhill,Massachusetts,United States
MacLeod,Don,Don MacLeod,5-11,,"Charlottetown, Prince Edward Island",1956,BU,Charlottetown,Prince Edward Island,Canada
Sutherland,Alan,Alan Sutherland,6-0 ,,"Brookline, Massachusetts",1956,BU,Brookline,Massachusetts,United States
'Sarge' Kinlin,Francis,Sarge Kinlin,6-0 ,,"Waltham, Massachusetts",1956,BU,Waltham,Massachusetts,United States
Carriere,Art,Art Carriere,6-2 ,,"West Roxbury, Massachusetts",1956,BU,West Roxbury,Massachusetts,United States
Carruthers,Jack,Jack Carruthers,5-9 ,,"Calgary, Alberta",1956,BU,Calgary,Alberta,Canada
Cicoria,Tony,Tony Cicoria,5-8 ,,"Melrose, Massachusetts",1956,BU,Melrose,Massachusetts,United States
Creighton,Larry,Larry Creighton,5-9 ,,"Calgary, Alberta",1956,BU,Calgary,Alberta,Canada
Dooley,John,John Dooley,- ,,,1956,BU,,,
Knight,Bob,Bob Knight,- ,,"Stoneham, Massachusetts",1956,BU,Stoneham,Massachusetts,United States
Lyons,Dick,Dick Lyons,- ,,"Cambridge, Massachusetts",1956,BU,Cambridge,Massachusetts,United States
Maddison,David,David Maddison,- ,,,1956,BU,,,
Manning,Mike,Mike Manning,5-10,,"Medford, Massachusetts",1956,BU,Medford,Massachusetts,United States
Quinn,Joe,Joe Quinn,5-10,,"Somerville, Massachusetts",1956,BU,Somerville,Massachusetts,United States
Sullivan,Bill,Bill Sullivan,5-11,,"East Weymouth, Massachusetts",1956,BU,East Weymouth,Massachusetts,United States
Sweeney,Bill,Bill Sweeney,6-0 ,,"Woburn, Massachusetts",1956,BU,Woburn,Massachusetts,United States
DiGuglielmo,Paul,Paul DiGuglielmo,5-8 ,,"Boston, Massachusetts",1956,BU,Boston,Massachusetts,United States
Heffernan,Dan,Dan Heffernan,6-0 ,,"Arlington, Massachusetts",1956,BU,Arlington,Massachusetts,United States
Levin,Henry,Henry Levin,5-6 ,,"Weymouth, Massachusetts",1956,BU,Weymouth,Massachusetts,United States
DiVincenzo,Ron,Ron DiVincenzo,6-0 ,,"Medford, Massachusetts",1957,BU,Medford,Massachusetts,United States
Dupuis,Bob,Bob Dupuis,5-8 ,,"Lynn, Massachusetts",1957,BU,Lynn,Massachusetts,United States
Enright,Pat,Pat Enright,5-11,,"Cambridge, Massachusetts",1957,BU,Cambridge,Massachusetts,United States
MacLeod,Don,Don MacLeod,5-11,,"Charlottetown, Prince Edward Island",1957,BU,Charlottetown,Prince Edward Island,Canada
'Sarge' Kinlin,Francis,Sarge Kinlin,6-0 ,,"Waltham, Massachusetts",1957,BU,Waltham,Massachusetts,United States
Carriere,Art,Art Carriere,6-2 ,,"West Roxbury, Massachusetts",1957,BU,West Roxbury,Massachusetts,United States
Carruthers,Jack,Jack Carruthers,5-9 ,,"Calgary, Alberta",1957,BU,Calgary,Alberta,Canada
Cicoria,Tony,Tony Cicoria,5-8 ,,"Melrose, Massachusetts",1957,BU,Melrose,Massachusetts,United States
Creighton,Larry,Larry Creighton,5-9 ,,"Calgary, Alberta",1957,BU,Calgary,Alberta,Canada
Giuliotti,Andy,Andy Giuliotti,5-9 ,,"East Boston, Massachusetts",1957,BU,East Boston,Massachusetts,United States
Jarasitis,Allen,Allen Jarasitis,6-1 ,,"Charlestown, Massachusetts",1957,BU,Charlestown,Massachusetts,United States
Keith,Forbes,Forbes Keith,- ,5/17/1936,"Boston, Massachusetts",1957,BU,Boston,Massachusetts,United States
MacKay,Jim,Jim MacKay,- ,,,1957,BU,,,
MacLeod,Dave,Dave MacLeod,6-1 ,,"Charlottetown, Prince Edward Island",1957,BU,Charlottetown,Prince Edward Island,Canada
Marquis,Bob,Bob Marquis,5-9 ,,"Montreal, Quebec",1957,BU,Montreal,Quebec,Canada
McCormack,Bill,Bill McCormack,5-11,,"Malden, Massachusetts",1957,BU,Malden,Massachusetts,United States
Sullivan,Bill,Bill Sullivan,5-11,,"East Weymouth, Massachusetts",1957,BU,East Weymouth,Massachusetts,United States
Sweeney,Bill,Bill Sweeney,6-0 ,,"Woburn, Massachusetts",1957,BU,Woburn,Massachusetts,United States
Levin,Henry,Henry Levin,5-6 ,,"Weymouth, Massachusetts",1957,BU,Weymouth,Massachusetts,United States
Tansey,Bill,Bill Tansey,5-11,,"Cambridge, Massachusetts",1957,BU,Cambridge,Massachusetts,United States
DiVincenzo,Ron,Ron DiVincenzo,6-0 ,,"Medford, Massachusetts",1958,BU,Medford,Massachusetts,United States
Enright,Pat,Pat Enright,5-11,,"Cambridge, Massachusetts",1958,BU,Cambridge,Massachusetts,United States
McCann,Pete,Pete McCann,6-0 ,,"Framingham, Massachusetts",1958,BU,Framingham,Massachusetts,United States
McCurdy,Russ,Russ McCurdy,6-2 ,8/18/1939,"Pawtucket, Rhode Island",1958,BU,Pawtucket,Rhode Island,United States
Cornish,Earl,Earl Cornish,- ,,,1958,BU,,,
Creighton,Larry,Larry Creighton,5-9 ,,"Calgary, Alberta",1958,BU,Calgary,Alberta,Canada
Cross,Jim,Jim Cross,5-7 ,,"Weymouth, Massachusetts",1958,BU,Weymouth,Massachusetts,United States
Dolan,Don,Don Dolan,- ,,,1958,BU,,,
Dooley,John,John Dooley,- ,,,1958,BU,,,
Flynn,George,George Flynn,- ,,,1958,BU,,,
Giuliotti,Andy,Andy Giuliotti,5-9 ,,"East Boston, Massachusetts",1958,BU,East Boston,Massachusetts,United States
Jarasitis,Allen,Allen Jarasitis,6-1 ,,"Charlestown, Massachusetts",1958,BU,Charlestown,Massachusetts,United States
Keith,Forbes,Forbes Keith,- ,5/17/1936,"Boston, Massachusetts",1958,BU,Boston,Massachusetts,United States
Leahy,John,John Leahy,- ,,"Somerville, Massachusetts",1958,BU,Somerville,Massachusetts,United States
MacLeod,Dave,Dave MacLeod,6-1 ,,"Charlottetown, Prince Edward Island",1958,BU,Charlottetown,Prince Edward Island,Canada
Marquis,Bob,Bob Marquis,5-9 ,,"Montreal, Quebec",1958,BU,Montreal,Quebec,Canada
McCormack,Bill,Bill McCormack,5-11,,"Malden, Massachusetts",1958,BU,Malden,Massachusetts,United States
Quinn,Bill,Bill Quinn,5-10,,"Somerville, Massachusetts",1958,BU,Somerville,Massachusetts,United States
Robinson,Bill,Bill Robinson,- ,,,1958,BU,,,
Tanner,Ron,Ron Tanner,- ,,,1958,BU,,,
Tansey,Bill,Bill Tansey,5-11,,"Cambridge, Massachusetts",1958,BU,Cambridge,Massachusetts,United States
Urbanski,Barry,Barry Urbanski,5-11,,"Danvers, Massachusetts",1958,BU,Danvers,Massachusetts,United States
Enright,Pat,Pat Enright,5-11,,"Cambridge, Massachusetts",1959,BU,Cambridge,Massachusetts,United States
Goguen,Donald,Donald Goguen,5-10,,"Valois, Quebec",1959,BU,Valois,Quebec,Canada
McCann,Pete,Pete McCann,6-0 ,,"Framingham, Massachusetts",1959,BU,Framingham,Massachusetts,United States
McCurdy,Russ,Russ McCurdy,6-2 ,8/18/1939,"Pawtucket, Rhode Island",1959,BU,Pawtucket,Rhode Island,United States
Blainey,Bill,Bill Blainey,- ,,,1959,BU,,,
Cross,Jim,Jim Cross,5-7 ,,"Weymouth, Massachusetts",1959,BU,Weymouth,Massachusetts,United States
Giuliotti,Andy,Andy Giuliotti,5-9 ,,"East Boston, Massachusetts",1959,BU,East Boston,Massachusetts,United States
Hughes,Paul,Paul Hughes,6-1 ,,"Natick, Massachusetts",1959,BU,Natick,Massachusetts,United States
Jarasitis,Allen,Allen Jarasitis,6-1 ,,"Charlestown, Massachusetts",1959,BU,Charlestown,Massachusetts,United States
Leahy,John,John Leahy,- ,,"Somerville, Massachusetts",1959,BU,Somerville,Massachusetts,United States
MacLeod,Dave,Dave MacLeod,6-1 ,,"Charlottetown, Prince Edward Island",1959,BU,Charlottetown,Prince Edward Island,Canada
Mahoney,David,David Mahoney,5-7 ,,"Arlington, Massachusetts",1959,BU,Arlington,Massachusetts,United States
Marquis,Bob,Bob Marquis,5-9 ,,"Montreal, Quebec",1959,BU,Montreal,Quebec,Canada
McCormack,Bill,Bill McCormack,5-11,,"Malden, Massachusetts",1959,BU,Malden,Massachusetts,United States
Quinn,Bill,Bill Quinn,5-10,,"Somerville, Massachusetts",1959,BU,Somerville,Massachusetts,United States
Robinson,Bill,Bill Robinson,- ,,,1959,BU,,,
Spinney,Donald,Donald Spinney,5-10,,"Lynn, Massachusetts",1959,BU,Lynn,Massachusetts,United States
Tansey,Bill,Bill Tansey,5-11,,"Cambridge, Massachusetts",1959,BU,Cambridge,Massachusetts,United States
Urbanski,Barry,Barry Urbanski,5-11,,"Danvers, Massachusetts",1959,BU,Danvers,Massachusetts,United States
Carver,Dave,Dave Carver,- ,,,1960,BU,,,
Goguen,Donald,Donald Goguen,5-10,,"Valois, Quebec",1960,BU,Valois,Quebec,Canada
Higgins,Jim,Jim Higgins,- ,,"Cambridge, Massachusetts",1960,BU,Cambridge,Massachusetts,United States
McCann,Pete,Pete McCann,6-0 ,,"Framingham, Massachusetts",1960,BU,Framingham,Massachusetts,United States
McCurdy,Russ,Russ McCurdy,6-2 ,8/18/1939,"Pawtucket, Rhode Island",1960,BU,Pawtucket,Rhode Island,United States
McFaun,Francis,Francis McFaun,- ,,,1960,BU,,,
Smith,Bob,Bob Smith,- ,,"Needham, Massachusetts",1960,BU,Needham,Massachusetts,United States
Connors,Edmund,Edmund Connors,- ,,,1960,BU,,,
Denihan,Mike,Mike Denihan,- ,,,1960,BU,,,
Fitzgerald,Peter,Peter Fitzgerald,- ,,,1960,BU,,,
Fogerty,Dick,Dick Fogerty,- ,,,1960,BU,,,
Hughes,Paul,Paul Hughes,6-1 ,,"Natick, Massachusetts",1960,BU,Natick,Massachusetts,United States
Leahy,John,John Leahy,- ,,"Somerville, Massachusetts",1960,BU,Somerville,Massachusetts,United States
MacLeod,Dave,Dave MacLeod,6-1 ,,"Charlottetown, Prince Edward Island",1960,BU,Charlottetown,Prince Edward Island,Canada
Mahoney,David,David Mahoney,5-7 ,,"Arlington, Massachusetts",1960,BU,Arlington,Massachusetts,United States
McBride,John,John McBride,- ,,,1960,BU,,,
Quinn,Bill,Bill Quinn,5-10,,"Somerville, Massachusetts",1960,BU,Somerville,Massachusetts,United States
Rowan,Bob,Bob Rowan,- ,,,1960,BU,,,
Spinney,Donald,Donald Spinney,5-10,,"Lynn, Massachusetts",1960,BU,Lynn,Massachusetts,United States
Eberly,Glen,Glen Eberly,- ,,,1960,BU,,,
Urbanski,Barry,Barry Urbanski,5-11,,"Danvers, Massachusetts",1960,BU,Danvers,Massachusetts,United States
Carver,Dave,Dave Carver,- ,,,1961,BU,,,
Comeau,Allen,Allen Comeau,- ,,,1961,BU,,,
Goguen,Donald,Donald Goguen,5-10,,"Valois, Quebec",1961,BU,Valois,Quebec,Canada
Higgins,Jim,Jim Higgins,- ,,"Cambridge, Massachusetts",1961,BU,Cambridge,Massachusetts,United States
Holmes,Leonard,Leonard Holmes,- ,,,1961,BU,,,
McFaun,Francis,Francis McFaun,- ,,,1961,BU,,,
McInnis,Bennett,Bennett McInnis,- ,,,1961,BU,,,
Sampson,Alden,Alden Sampson,- ,,,1961,BU,,,
Smith,Bob,Bob Smith,- ,,"Needham, Massachusetts",1961,BU,Needham,Massachusetts,United States
Connors,Edmund,Edmund Connors,- ,,,1961,BU,,,
Denihan,Mike,Mike Denihan,- ,,,1961,BU,,,
Fitzgerald,Peter,Peter Fitzgerald,- ,,,1961,BU,,,
Fuller,Alan,Alan Fuller,- ,,,1961,BU,,,
Johnson,Paul,Paul Johnson,- ,,,1961,BU,,,
Mahoney,David,David Mahoney,5-7 ,,"Arlington, Massachusetts",1961,BU,Arlington,Massachusetts,United States
McBride,John,John McBride,- ,,,1961,BU,,,
Ross,Ken,Ken Ross,- ,,,1961,BU,,,
Rowan,Bob,Bob Rowan,- ,,,1961,BU,,,
Spinney,Donald,Donald Spinney,5-10,,"Lynn, Massachusetts",1961,BU,Lynn,Massachusetts,United States
Welch,Alan,Alan Welch,- ,,,1961,BU,,,
Eberly,Glen,Glen Eberly,- ,,,1961,BU,,,
Plante,Bruce,Bruce Plante,- ,,,1961,BU,,,
Comeau,Allen,Allen Comeau,- ,,,1962,BU,,,
Green,Richard,Richard Green,- ,,,1962,BU,,,
Higgins,Jim,Jim Higgins,- ,,"Cambridge, Massachusetts",1962,BU,Cambridge,Massachusetts,United States
Holmes,Leonard,Leonard Holmes,- ,,,1962,BU,,,
McFaun,Francis,Francis McFaun,- ,,,1962,BU,,,
McInnis,Bennett,Bennett McInnis,- ,,,1962,BU,,,
Sampson,Alden,Alden Sampson,- ,,,1962,BU,,,
Smith,Bob,Bob Smith,- ,,"Needham, Massachusetts",1962,BU,Needham,Massachusetts,United States
Connors,Edmund,Edmund Connors,- ,,,1962,BU,,,
Crotty,Ed,Ed Crotty,- ,,,1962,BU,,,
Denihan,Mike,Mike Denihan,- ,,,1962,BU,,,
Maloney,Leo,Leo Maloney,- ,,,1962,BU,,,
Martell,Bob,Bob Martell,- ,,,1962,BU,,,
McBride,John,John McBride,- ,,,1962,BU,,,
McCabe,Bob,Bob McCabe,- ,,,1962,BU,,,
McGarry,Jack,Jack McGarry,- ,,,1962,BU,,,
Ross,Ken,Ken Ross,- ,,,1962,BU,,,
Rowan,Bob,Bob Rowan,- ,,,1962,BU,,,
Sylvia,Bob,Bob Sylvia,- ,,,1962,BU,,,
Eberly,Glen,Glen Eberly,- ,,,1962,BU,,,
Parlante,Chris,Chris Parlante,- ,,,1962,BU,,,
Plante,Bruce,Bruce Plante,- ,,,1962,BU,,,
Comeau,Allen,Allen Comeau,- ,,,1963,BU,,,
Conte,Vic,Vic Conte,5-6 ,,"Niagara Falls, Ontario",1963,BU,Niagara Falls,Ontario,Canada
Green,Richard,Richard Green,- ,,,1963,BU,,,
Holmes,Leonard,Leonard Holmes,- ,,,1963,BU,,,
Payne,Ray,Ray Payne,5-11,,"Toronto, Ontario",1963,BU,Toronto,Ontario,Canada
Ross,Tom,Tom Ross,5-11,,"West Roxbury, Massachusetts",1963,BU,West Roxbury,Massachusetts,United States
Sampson,Alden,Alden Sampson,- ,,,1963,BU,,,
Carter,Lyman,Lyman Carter,- ,,,1963,BU,,,
Eads,Manuel,Manuel Eads,- ,,,1963,BU,,,
Fennie,Bruce,Bruce Fennie,5-10,,"Buffalo, New York",1963,BU,Buffalo,New York,United States
Jackson,Bill,Bill Jackson,- ,,,1963,BU,,,
Martell,Bob,Bob Martell,- ,,,1963,BU,,,
McCabe,Bob,Bob McCabe,- ,,,1963,BU,,,
McGarry,Jack,Jack McGarry,- ,,,1963,BU,,,
O'Connell,Mike,Mike O'Connell,- ,,"South Boston, Massachusetts",1963,BU,South Boston,Massachusetts,United States
